Power	Speed 	Hatch 	Thickness	Spot	Energy	PSD	Atmosphere	Geometry	 Strategy	RD
300	1200	0.15	0.03	0.1	55.56	25.6	1	2	1	99.96
340	1400	0.08	0.03	0.075	101.19	34	1	1	2	99.94
370	1454	0.16	0.03	0.07	53.01	31.43	1	1	1	99.92
370	1344	0.18	0.03	0.07	50.98	31.43	1	1	1	99.91
370	1511	0.16	0.03	0.07	51.01	31.43	1	1	1	99.91
370	1293	0.18	0.03	0.07	52.99	31.43	1	1	1	99.89
250	1600	0.1	0.03	0.08	52.08	41.5	1	1	1	99.85
370	1402	0.16	0.03	0.07	54.98	31.43	1	1	1	99.85
370	1246	0.18	0.03	0.07	54.99	31.43	1	1	1	99.84
370	1573	0.16	0.03	0.07	49.00	31.43	1	1	1	99.84
180	1000	0.05	0.03	0.07	120.00	25.68	1	1	1	99.82
370	1202	0.18	0.03	0.07	57.00	31.43	1	1	1	99.82
370	1398	0.18	0.03	0.07	49.01	31.43	1	1	1	99.82
370	1352	0.16	0.03	0.07	57.01	31.43	1	1	1	99.81
600	2000	0.15	0.05	0.085	40.00	41.5	6	1	6	99.8
800	1500	0.15	0.05	0.085	71.11	41.5	6	1	6	99.8
300	1400	0.08	0.03	0.075	89.29	34	1	1	2	99.78
788	1099	0.3	0.06	0.1	39.83	40	6	1	6	99.77
370	1161	0.18	0.03	0.07	59.02	31.43	1	1	1	99.74
370	1306	0.16	0.03	0.07	59.02	31.43	1	1	1	99.73
400	1000	0.15	0.05	0.085	53.33	41.5	6	1	6	99.7
500	1500	0.15	0.05	0.085	44.44	41.5	6	1	6	99.7
500	2000	0.15	0.05	0.085	33.33	41.5	6	1	6	99.7
800	2000	0.15	0.05	0.085	53.33	41.5	6	1	6	99.7
260	1400	0.08	0.03	0.075	77.38	34	1	1	2	99.64
600	1500	0.15	0.05	0.085	53.33	41.5	6	1	6	99.6
700	2000	0.15	0.05	0.085	46.67	41.5	6	1	6	99.6
340	1400	0.08	0.03	0.075	101.19	34	1	1	2	99.60
250	2100	0.07	0.03	0.08	56.69	41.5	1	1	1	99.59
140	800	0.05	0.03	0.07	116.67	25.68	1	1	1	99.58
463	500	0.35	0.06	0.1	44.10	40	6	1	6	99.57
300	2100	0.1	0.03	0.08	47.62	41.5	1	1	1	99.55
370	1700	0.11	0.03	0.115	65.95	41.5	1	2	5	99.55
350	1600	0.12	0.03	0.115	60.76	41.5	1	2	5	99.55
330	1500	0.12	0.03	0.115	61.11	41.5	1	2	5	99.53
330	1700	0.11	0.03	0.115	58.82	41.5	1	2	5	99.53
350	1500	0.11	0.03	0.115	70.71	41.5	1	2	5	99.53
350	1600	0.13	0.03	0.115	56.09	41.5	1	2	5	99.52
788	1099	0.3	0.06	0.1	39.83	40	6	1	6	99.51
350	1700	0.12	0.03	0.115	57.19	41.5	1	2	5	99.51
330	1500	0.13	0.03	0.115	56.41	41.5	1	2	5	99.50
800	1000	0.15	0.05	0.085	106.67	41.5	6	1	6	99.5
250	1100	0.13	0.06	0.07	29.14	41	2	1	1	99.5
250	1200	0.13	0.06	0.07	26.71	41	2	1	1	99.5
330	1600	0.12	0.03	0.115	57.29	41.5	1	2	5	99.50
370	1500	0.11	0.03	0.115	74.75	41.5	1	2	5	99.50
350	1500	0.13	0.03	0.115	59.83	41.5	1	2	5	99.49
330	1600	0.13	0.03	0.115	52.88	41.5	1	2	5	99.47
330	1700	0.13	0.03	0.115	49.77	41.5	1	2	5	99.45
330	1700	0.12	0.03	0.115	53.92	41.5	1	2	5	99.45
300	1600	0.1	0.03	0.08	62.50	41.5	1	1	1	99.44
350	1600	0.11	0.03	0.115	66.29	41.5	1	2	5	99.44
350	1700	0.11	0.03	0.115	62.39	41.5	1	2	5	99.44
300	1400	0.08	0.03	0.075	89.29	34	1	1	2	99.43
330	1500	0.11	0.03	0.115	66.67	41.5	1	2	5	99.41
350	2100	0.1	0.03	0.08	55.56	41.5	1	1	1	99.40
370	1500	0.12	0.03	0.115	68.52	41.5	1	2	5	99.40
700	1500	0.15	0.05	0.085	62.22	41.5	6	1	6	99.4
250	1400	0.13	0.03	0.07	45.79	41	2	1	1	99.4
370	1600	0.12	0.03	0.115	64.24	41.5	1	2	5	99.40
170	1000	0.05	0.03	0.07	113.33	25.68	1	1	1	99.39
350	1500	0.12	0.03	0.115	64.81	41.5	1	2	5	99.39
350	1700	0.13	0.03	0.115	52.79	41.5	1	2	5	99.39
330	1600	0.11	0.03	0.115	62.50	41.5	1	2	5	99.39
370	1700	0.13	0.03	0.115	55.81	41.5	1	2	5	99.38
250	1600	0.13	0.03	0.08	40.06	41.5	1	1	1	99.37
350	2100	0.13	0.03	0.08	42.74	41.5	1	1	1	99.37
200	1400	0.105	0.03	0.15	45.35	30	1	1	6	99.35
250	1100	0.13	0.03	0.08	58.28	41.5	1	1	1	99.33
370	1500	0.13	0.03	0.115	63.25	41.5	1	2	5	99.32
370	1600	0.11	0.03	0.115	70.08	41.5	1	2	5	99.32
200	1500	0.105	0.03	0.15	42.33	30	1	1	6	99.30
170	1000	0.105	0.03	0.15	53.97	30	1	1	6	99.30
200	571.43	0.08	0.025	0.08	175.00	45	6	2	5	99.30
400	1500	0.15	0.05	0.085	35.56	41.5	6	1	6	99.3
500	1000	0.15	0.05	0.085	66.67	41.5	6	1	6	99.3
700	1000	0.15	0.05	0.085	93.33	41.5	6	1	6	99.3
250	1000	0.13	0.06	0.07	32.05	41	2	1	1	99.3
370	1600	0.13	0.03	0.115	59.29	41.5	1	2	5	99.29
300	1600	0.13	0.03	0.08	48.08	41.5	1	1	1	99.29
350	1600	0.13	0.03	0.08	56.09	41.5	1	1	1	99.29
370	1700	0.12	0.03	0.115	60.46	41.5	1	2	5	99.26
150	900	0.05	0.03	0.07	111.11	25.68	1	1	1	99.23
250	1600	0.07	0.03	0.08	74.40	41.5	1	1	1	99.22
180	1100	0.105	0.03	0.15	51.95	30	1	1	6	99.20
300	1000	0.15	0.05	0.085	40.00	41.5	6	1	6	99.2
600	1000	0.15	0.05	0.085	80.00	41.5	6	1	6	99.2
250	900	0.13	0.06	0.07	35.61	41	2	1	1	99.2
200	1350	0.075	0.03	0.15	65.84	35	1	1	3	99.2
175	1025	0.0975	0.03	0.15	58.37	35	1	1	3	99.2
300	2100	0.07	0.03	0.08	68.03	41.5	1	1	1	99.18
625	800	0.4	0.06	0.1	32.55	40	6	1	6	99.16
200	1300	0.105	0.03	0.15	48.84	30	1	1	6	99.15
190	1200	0.105	0.03	0.15	50.26	30	1	1	6	99.15
950	1400	0.35	0.06	0.1	32.31	40	6	1	6	99.15
350	2100	0.07	0.03	0.08	79.37	41.5	1	1	1	99.14
200	1200	0.105	0.03	0.15	52.91	30	1	1	6	99.11
190	1400	0.105	0.03	0.15	43.08	30	1	1	6	99.10
200	1600	0.105	0.03	0.15	39.68	30	1	1	6	99.10
250	1600	0.13	0.03	0.07	40.06	41	2	1	1	99.1
170	800	0.105	0.03	0.15	67.46	30	1	1	6	99.08
170	1200	0.105	0.03	0.15	44.97	30	1	1	6	99.08
250	2100	0.1	0.03	0.08	39.68	41.5	1	1	1	99.07
180	900	0.105	0.03	0.15	63.49	30	1	1	6	99.02
300	1100	0.1	0.03	0.08	90.91	41.5	1	1	1	98.99
625	800	0.4	0.06	0.1	32.55	40	6	1	6	98.93
260	1400	0.08	0.03	0.075	77.38	34	1	1	2	98.92
200	1000	0.105	0.03	0.15	63.49	30	1	1	6	98.90
200	1100	0.105	0.03	0.15	57.72	30	1	1	6	98.90
170	900	0.05	0.03	0.07	125.93	25.68	1	1	1	98.88
350	1600	0.1	0.03	0.08	72.92	41.5	1	1	1	98.88
150	800	0.05	0.03	0.07	125.00	25.68	1	1	1	98.87
180	1400	0.105	0.03	0.15	40.82	30	1	1	6	98.85
190	1600	0.105	0.03	0.15	37.70	30	1	1	6	98.85
300	1600	0.07	0.03	0.08	89.29	41.5	1	1	1	98.84
160	1000	0.05	0.03	0.07	106.67	25.68	1	1	1	98.83
350	1600	0.07	0.03	0.08	104.17	41.5	1	1	1	98.81
190	1000	0.105	0.03	0.15	60.32	30	1	1	6	98.80
250	1000	0.13	0.03	0.07	64.10	41	2	1	1	98.8
200	900	0.105	0.03	0.15	70.55	30	1	1	6	98.75
350	1150	0.17	0.05	0.1	35.81	41.5	1	6	2	98.72
300	2100	0.13	0.03	0.08	36.63	41.5	1	1	1	98.69
350	1150	0.17	0.05	0.1	35.81	41.5	1	6	2	98.69
950	1400	0.35	0.06	0.1	32.31	40	6	1	6	98.68
250	2100	0.13	0.03	0.08	30.53	41.5	1	1	1	98.66
180	1500	0.105	0.03	0.15	38.10	30	1	1	6	98.65
350	1150	0.17	0.05	0.1	35.81	41.5	1	6	2	98.63
463	500	0.35	0.06	0.1	44.10	40	6	1	6	98.6
250	1200	0.15	0.03	0.07	46.30	41	2	1	1	98.6
250	1100	0.1	0.03	0.08	75.76	41.5	1	1	1	98.58
160	900	0.05	0.03	0.07	118.52	25.68	1	1	1	98.58
180	1100	0.05	0.03	0.07	109.09	25.68	1	1	1	98.56
170	1400	0.105	0.03	0.15	38.55	30	1	1	6	98.55
200	800	0.105	0.03	0.15	79.37	30	1	1	6	98.53
250	1400	0.13	0.06	0.07	22.89	41	2	1	1	98.5
190	800	0.105	0.03	0.15	75.40	30	1	1	6	98.40
250	1200	0.11	0.03	0.07	63.13	41	2	1	1	98.4
250	1200	0.11	0.03	0.07	63.13	41	2	1	1	98.4
300	1100	0.13	0.03	0.08	69.93	41.5	1	1	1	98.32
250	1200	0.13	0.03	0.07	53.42	41	2	1	1	98.3
250	1800	0.13	0.03	0.07	35.61	41	2	1	1	98.3
250	800	0.13	0.09	0.07	26.71	41	2	1	1	98.3
175	1025	0.0975	0.03	0.15	58.37	35	1	1	3	98.3
160	800	0.05	0.03	0.07	133.33	25.68	1	1	1	98.27
140	700	0.05	0.03	0.07	133.33	25.68	1	1	1	98.26
180	900	0.05	0.03	0.07	133.33	25.68	1	1	1	98.26
250	1200	0.13	0.03	0.07	53.42	41	2	1	1	98.2
320	900	0.0818	0.03	0.08	144.89	38.5	1	1	4	98.17
360	750	0.0914	0.03	0.08	175.05	38.5	1	1	4	98.17
320	900	0.0709	0.03	0.08	167.16	38.5	1	1	4	98.14
250	1100	0.07	0.03	0.08	108.23	41.5	1	1	1	98.13
250	1000	0.2	0.02	0.08	62.50	28	6	1	6	98.13
400	600	0.1009	0.03	0.08	220.24	38.5	1	1	4	98.12
250	1200	0.17	0.03	0.07	40.85	41	2	1	1	98.1
250	800	0.13	0.06	0.07	40.06	41	2	1	1	98.1
250	1000	0.13	0.09	0.07	21.37	41	2	1	1	98.1
300	1100	0.07	0.03	0.08	129.87	41.5	1	1	1	98.10
320	600	0.0887	0.03	0.08	200.43	38.5	1	1	4	98.02
170	1100	0.05	0.03	0.07	103.03	25.68	1	1	1	98.02
320	600	0.0955	0.03	0.08	186.15	38.5	1	1	4	98.01
250	2200	0.13	0.03	0.07	29.14	41	2	1	1	98
360	900	0.083	0.03	0.08	160.64	38.5	1	1	4	97.99
400	900	0.0941	0.03	0.08	157.44	38.5	1	1	4	97.95
360	900	0.0771	0.03	0.08	172.94	38.5	1	1	4	97.95
150	700	0.05	0.03	0.07	142.86	25.68	1	1	1	97.94
400	600	0.1086	0.03	0.08	204.62	38.5	1	1	4	97.91
250	1200	0.17	0.03	0.07	40.85	41	2	1	1	97.9
360	600	0.1036	0.03	0.08	193.05	38.5	1	1	4	97.90
320	900	0.0763	0.03	0.08	155.33	38.5	1	1	4	97.84
250	1200	0.13	0.03	0.07	53.42	41	2	1	1	97.8
250	1200	0.15	0.03	0.07	46.30	41	2	1	1	97.8
250	2000	0.13	0.03	0.07	32.05	41	2	1	1	97.8
320	750	0.0807	0.03	0.08	176.24	38.5	1	1	4	97.78
300	1200	0.15	0.02	0.08	83.33	28	6	1	6	97.75
170	1600	0.105	0.03	0.15	33.73	30	1	1	6	97.75
320	750	0.0931	0.03	0.08	152.76	38.5	1	1	4	97.74
300	1200	0.13	0.03	0.07	64.10	41	2	1	1	97.7
140	900	0.05	0.03	0.07	103.70	25.68	1	1	1	97.70
400	750	0.0977	0.03	0.08	181.96	38.5	1	1	4	97.63
300	1200	0.13	0.03	0.07	64.10	41	2	1	1	97.6
175	1025	0.0525	0.03	0.15	108.40	35	1	1	3	97.6
