Material	Power	Speed 	Hatch 	Thickness	Spot	Energy	D50	Atmosphere	Geometry	 Strategy	RD
2	300	1200	0.15	0.03	0.1	55.56	25.6	1	2	1	99.96
2	340	1400	0.08	0.03	0.075	101.19	34	1	1	2	99.94
2	370	1454	0.16	0.03	0.07	53.01	31.43	1	1	1	99.92
2	370	1344	0.18	0.03	0.07	50.98	31.43	1	1	1	99.91
2	370	1511	0.16	0.03	0.07	51.01	31.43	1	1	1	99.91
2	370	1293	0.18	0.03	0.07	52.99	31.43	1	1	1	99.89
2	250	1600	0.1	0.03	0.08	52.08	41.5	1	1	1	99.85
2	370	1402	0.16	0.03	0.07	54.98	31.43	1	1	1	99.85
2	370	1246	0.18	0.03	0.07	54.99	31.43	1	1	1	99.84
2	370	1573	0.16	0.03	0.07	49.00	31.43	1	1	1	99.84
2	180	1000	0.05	0.03	0.07	120.00	25.68	1	1	1	99.82
2	370	1202	0.18	0.03	0.07	57.00	31.43	1	1	1	99.82
2	370	1398	0.18	0.03	0.07	49.01	31.43	1	1	1	99.82
2	370	1352	0.16	0.03	0.07	57.01	31.43	1	1	1	99.81
2	600	2000	0.15	0.05	0.085	40.00	41.5	6	1	6	99.8
2	800	1500	0.15	0.05	0.085	71.11	41.5	6	1	6	99.8
2	300	1400	0.08	0.03	0.075	89.29	34	1	1	2	99.78
2	788	1099	0.3	0.06	0.1	39.83	40	6	1	6	99.77
2	370	1161	0.18	0.03	0.07	59.02	31.43	1	1	1	99.74
2	370	1306	0.16	0.03	0.07	59.02	31.43	1	1	1	99.73
2	400	1000	0.15	0.05	0.085	53.33	41.5	6	1	6	99.7
2	500	1500	0.15	0.05	0.085	44.44	41.5	6	1	6	99.7
2	500	2000	0.15	0.05	0.085	33.33	41.5	6	1	6	99.7
2	800	2000	0.15	0.05	0.085	53.33	41.5	6	1	6	99.7
2	260	1400	0.08	0.03	0.075	77.38	34	1	1	2	99.64
2	600	1500	0.15	0.05	0.085	53.33	41.5	6	1	6	99.6
2	700	2000	0.15	0.05	0.085	46.67	41.5	6	1	6	99.6
2	340	1400	0.08	0.03	0.075	101.19	34	1	1	2	99.60
2	250	2100	0.07	0.03	0.08	56.69	41.5	1	1	1	99.59
2	140	800	0.05	0.03	0.07	116.67	25.68	1	1	1	99.58
2	463	500	0.35	0.06	0.1	44.10	40	6	1	6	99.57
2	300	2100	0.1	0.03	0.08	47.62	41.5	1	1	1	99.55
2	370	1700	0.11	0.03	0.115	65.95	41.5	1	2	5	99.55
2	350	1600	0.12	0.03	0.115	60.76	41.5	1	2	5	99.55
2	330	1500	0.12	0.03	0.115	61.11	41.5	1	2	5	99.53
2	330	1700	0.11	0.03	0.115	58.82	41.5	1	2	5	99.53
2	350	1500	0.11	0.03	0.115	70.71	41.5	1	2	5	99.53
2	350	1600	0.13	0.03	0.115	56.09	41.5	1	2	5	99.52
2	788	1099	0.3	0.06	0.1	39.83	40	6	1	6	99.51
2	350	1700	0.12	0.03	0.115	57.19	41.5	1	2	5	99.51
2	330	1500	0.13	0.03	0.115	56.41	41.5	1	2	5	99.50
2	800	1000	0.15	0.05	0.085	106.67	41.5	6	1	6	99.5
