Power	Speed 	Hatch 	Thickness	Spot	Energy	PSD 	Atmosphere	 Geometry	 Strategy	RD
200	800	0.1	0.03	0.07	83.33	35.50	1	2	1	99.99
275	1000	0.12	0.03	0.07	76.39	35.50	1	2	1	99.98
350	1200	0.12	0.03	0.07	81.02	35.50	1	2	1	99.98
200	800	0.08	0.03	0.07	104.17	35.50	1	2	1	99.98
200	800	0.12	0.03	0.07	69.44	35.50	1	2	1	99.97
350	800	0.12	0.03	0.07	121.53	35.50	1	2	1	99.93
175	700	0.08	0.03	0.1	104.17	27.82	1	1	2	99.93
200	600	0.12	0.03	0.07	92.59	35.50	1	2	1	99.92
275	800	0.12	0.03	0.07	95.49	35.50	1	2	1	99.91
200	800	0.14	0.03	0.07	59.52	35.50	1	2	1	99.91
175	668	0.12	0.03	0.1	72.77	36.00	1	1	1	99.90
125	600	0.12	0.03	0.07	57.87	35.50	1	2	1	99.90
275	600	0.12	0.03	0.07	127.31	35.50	1	2	1	99.90
350	1000	0.12	0.03	0.07	97.22	35.50	1	2	1	99.90
200	800	0.12	0.03	0.07	69.44	35.50	1	2	1	99.89
200	1000	0.12	0.03	0.07	55.56	35.50	1	2	1	99.88
175	900	0.08	0.03	0.1	81.02	27.82	1	1	2	99.88
275	1400	0.12	0.03	0.07	54.56	35.50	1	2	1	99.87
150	781	0.08	0.03	0.085	80.03	30.37	1	1	7	99.84
150	446	0.14	0.03	0.085	80.08	30.37	1	1	7	99.84
200	800	0.16	0.03	0.07	52.08	35.50	1	2	1	99.84
200	1200	0.12	0.03	0.07	46.30	35.50	1	2	1	99.83
130	700	0.06	0.02	0.055	154.76	30.00	2	2	3	99.81
350	1400	0.12	0.03	0.07	69.44	35.50	1	2	1	99.78
275	1200	0.12	0.03	0.07	63.66	35.50	1	2	1	99.77
130	700	0.06	0.02	0.055	154.76	30.00	2	2	3	99.75
350	600	0.12	0.03	0.07	162.04	35.50	1	2	1	99.74
175	750	0.12	0.03	0.085	64.81	30.37	1	1	7	99.73
175	500	0.08	0.03	0.1	145.83	27.82	1	1	2	99.73
350	1800	0.12	0.03	0.07	54.01	35.50	1	2	1	99.71
200	900	0.08	0.03	0.1	92.59	27.82	1	1	2	99.71
200	1042	0.08	0.03	0.085	79.97	30.37	1	1	7	99.70
200	700	0.08	0.03	0.1	119.05	27.82	1	1	2	99.66
275	1800	0.12	0.03	0.07	42.44	35.50	1	2	1	99.62
150	500	0.08	0.03	0.1	125.00	27.82	1	1	2	99.62
200	1100	0.04	0.03	0.1	151.52	27.82	1	1	2	99.62
150	700	0.08	0.03	0.1	89.29	27.82	1	1	2	99.59
175	18.76	0.056	0.4	0.075	416.44	35.00	1	1	7	99.54
200	510.99	0.076	0.05	0.07	103	30	7	3	4	99.52
100	925	0.06	0.02	0.05	90.09	35.50	7	4	3	99.52
125	800	0.12	0.03	0.07	43.40	35.50	1	2	1	99.51
200	377.04	0.103	0.05	0.07	103	30	7	3	4	99.50
200	400	0.12	0.03	0.07	138.89	35.50	1	2	1	99.49
200	684.81	0.099	0.05	0.07	59	30	7	3	4	99.49
200	658.22	0.103	0.05	0.07	59	30	7	3	4	99.46
200	658.22	0.103	0.05	0.07	59	30	7	3	4	99.46
200	296.30	0.075	0.05	0.07	180	30	7	3	4	99.46
350	2200	0.12	0.03	0.07	44.19	35.50	1	2	1	99.46
100	111	0.12	0.05	0.2	150.15	40.80	1	1	6	99.45
100	694	0.08	0.02	0.05	90.06	35.50	7	4	3	99.44
200	1400	0.12	0.03	0.07	39.68	35.50	1	2	1	99.44
200	510.99	0.076	0.05	0.07	103	30	7	3	4	99.41
100	700	0.08	0.02	0.05	89.29	35.50	7	4	3	99.40
125	21.44	0.056	0.35	0.075	297.46	35.00	1	1	7	99.40
200	560.30	0.121	0.05	0.07	59	30	7	3	4	99.36
200	296.30	0.075	0.05	0.07	180	30	7	3	4	99.36
200	1100	0.08	0.03	0.1	75.76	27.82	1	1	2	99.36
200	1100	0.08	0.03	0.1	75.76	27.82	1	1	2	99.36
200	1100	0.08	0.03	0.1	75.76	27.82	1	1	2	99.36
150	400	0.08	0.03	0.07	156.25	17.00	7	1	7	99.35
200	684.81	0.099	0.05	0.07	59	30	7	3	4	99.35
200	560.30	0.121	0.05	0.07	59	30	7	3	4	99.31
150	350.92	0.083	0.05	0.07	103	30	7	3	4	99.31
150	500	0.08	0.04	0.07	93.75	30.00	7	1	4	99.30
175	668	0.12	0.03	0.1	72.77	36.00	1	1	4	99.30
150	1100	0.08	0.03	0.1	56.82	27.82	1	1	2	99.28
150	420.23	0.121	0.05	0.07	59	30	7	3	4	99.27
150	303.40	0.096	0.05	0.07	103	30	7	3	4	99.27
200	595	0.14	0.03	0.085	80.03	30.37	1	1	7	99.27
175	26.28	0.056	0.46	0.075	258.50	35.00	1	1	7	99.27
200	377.04	0.103	0.05	0.07	103	30	7	3	4	99.26
100	1388	0.04	0.02	0.05	90.06	35.50	7	4	3	99.24
150	251.09	0.116	0.05	0.07	103	30	7	3	4	99.24
150	303.40	0.096	0.05	0.07	103	30	7	3	4	99.22
200	233.92	0.095	0.05	0.07	180	30	7	3	4	99.21
80	700	0.04	0.02	0.05	142.86	35.50	7	4	3	99.21
150	900	0.08	0.03	0.1	69.44	27.82	1	1	2	99.21
150	513.61	0.099	0.05	0.07	59	30	7	3	4	99.19
100	925	0.06	0.02	0.05	90.09	35.50	7	4	3	99.16
100	1500	0.04	0.02	0.05	83.33	35.50	7	4	3	99.13
150	420.23	0.121	0.05	0.07	59	30	7	3	4	99.12
125	400	0.12	0.03	0.07	86.81	35.50	1	2	1	99.09
275	2200	0.12	0.03	0.07	34.72	35.50	1	2	1	99.09
100	1388	0.04	0.02	0.05	90.06	35.50	7	4	3	99.08
150	513.61	0.099	0.05	0.07	59	30	7	3	4	99.05
80	700	0.08	0.02	0.05	71.43	35.50	7	4	3	99.02
100	925	0.06	0.02	0.05	90.09	35.50	7	4	3	99.01
150	400	0.08	0.04	0.07	117.19	30.00	7	1	4	99.00
175	668	0.12	0.03	0.1	72.77	36.00	1	1	1	99.00
180	1400	0.050	0.03	0.05	85.71	26	1	1	5	99.00
100	694	0.08	0.02	0.05	90.06	35.50	7	4	3	98.98
150	498.50	0.102	0.05	0.07	59	30	7	3	4	98.93
200	320.95	0.121	0.05	0.07	103	30	7	3	4	98.93
175	26.28	0.018	0.46	0.075	804.23	35.00	1	1	7	98.93
150	400	0.08	0.03	0.07	156.25	17.00	7	1	7	98.93
150	498.50	0.102	0.05	0.07	59	30	7	3	4	98.92
100	700	0.04	0.02	0.05	178.57	35.50	7	4	3	98.92
100	1388	0.04	0.02	0.05	90.06	35.50	7	4	3	98.92
100	462	0.12	0.02	0.05	90.19	35.50	7	4	3	98.90
175	26.28	0.037	0.46	0.075	391.25	35.00	1	1	7	98.85
100	694	0.08	0.02	0.05	90.06	35.50	7	4	3	98.84
150	400	0.09	0.03	0.07	138.89	17.00	7	1	7	98.76
175	1100	0.08	0.03	0.1	66.29	27.82	1	1	2	98.76
275	400	0.12	0.03	0.07	190.97	35.50	1	2	1	98.74
225	700	0.09	0.02	0.08	178.57	38.00	7	1	7	98.73
200	320.95	0.121	0.05	0.07	103	30	7	3	4	98.72
150	750	0.12	0.03	0.085	55.56	30.37	1	1	7	98.72
300	1000	0.09	0.02	0.08	166.67	38.00	7	1	7	98.71
225	1000	0.09	0.02	0.08	125.00	38.00	7	1	7	98.71
225	1000	0.09	0.02	0.08	125.00	38.00	7	1	7	98.68
225	1000	0.09	0.02	0.08	125.00	38.00	7	1	7	98.67
225	1000	0.09	0.02	0.08	125.00	38.00	7	1	7	98.65
150	350.92	0.083	0.05	0.07	103	30	7	3	4	98.65
269.6	1178.4	0.07	0.02	0.08	163.42	38.00	7	1	7	98.63
225	1000	0.09	0.02	0.08	125.00	38.00	7	1	7	98.63
269.6	821.6	0.07	0.02	0.08	234.39	38.00	7	1	7	98.62
225	1000	0.09	0.02	0.08	125.00	38.00	7	1	7	98.62
180.4	821.6	0.11	0.02	0.08	99.81	38.00	7	1	7	98.61
100	111	0.12	0.05	0.2	150.15	40.80	1	1	6	98.60
200	1300	0.08	0.03	0.1	64.10	27.82	1	1	2	98.54
269.6	821.6	0.11	0.02	0.08	149.15	38.00	7	1	7	98.53
100	591	0.07	0.03	0.09	80.57	38.00	1	1	4	98.50
100	462	0.12	0.02	0.05	90.19	35.50	7	4	3	98.46
140	800	0.07	0.02	0.075	125.00	23.60	2	3	4	98.44
225	1000	0.06	0.02	0.08	187.50	38.00	7	1	7	98.43
80	300	0.08	0.02	0.05	166.67	35.50	7	4	3	98.38
